admin1pcode,admin2pcode,admin3pcode,admin4pcode,admin5pcode,camp_name,activity,beneficiaries,month,project_status,cluster,delivery_modality,site
SY07,SY0703,SY070301,C4131,CP001191,Masaken Alsultan Abd Alhameed / مساكن السلطان عبد الحميد,New people reached with GBV services  - GBV100,36,jan,Completed,Protection,Service delivery/support,CP001191
SY07,SY0703,SY070301,C4127,NA,Abwab Alrahma / أبواب الرحمة,New people reached with GBV services  - GBV100,11,jan,Completed,Protection,Service delivery/support,Abwab Alrahma / أبواب الرحمة
SY07,SY0703,SY070301,C6692,CP001765,Mulhaq almashhad Alaramel / ملحق المشهد الارامل,New people reached with GBV services  - GBV100,15,jan,Completed,Protection,Service delivery/support,CP001765
SY07,SY0703,SY070301,C4129,CP000411,Qariat Al Iman / قرية الايمان,New people reached with GBV services  - GBV100,12,jan,Completed,Protection,Service delivery/support,CP000411
SY07,SY0703,SY070301,C4129,NA,Ataa 1 (Hamad Al Ammar 2-Dar Al Riaya - Orphans) / عطاء 1 - دار رعاية الأيتام,New people reached with GBV services  - GBV100,9,jan,Completed,Protection,Service delivery/support,Ataa 1 (Hamad Al Ammar 2-Dar Al Riaya - Orphans) / عطاء 1 - دار رعاية الأيتام
SY07,SY0703,SY070301,C4130,CP000815,Al Amana / الأمانة,New people reached with GBV services  - GBV100,72,jan,Completed,Protection,Service delivery/support,CP000815
SY07,SY0703,SY070301,C4129,NA,Al Rahma / الرحمة,New people reached with GBV services  - GBV100,150,jan,Completed,Protection,Service delivery/support,Al Rahma / الرحمة
SY07,SY0703,SY070301,C4129,NA,Al Rahma / الرحمة,People trained on GBV related topics - GBV700,72,jan,Completed,Protection,Service delivery/support,Al Rahma / الرحمة
SY07,SY0703,SY070303,C4157,NA,NA,New people reached with GBV services  - GBV100,210,jan,Completed,Protection,Service delivery/support,C4157
SY07,SY0700,SY070000,C3871,NA,NA,New people reached with GBV services  - GBV100,53,jan,Completed,Protection,Service delivery/support,C3871
SY07,SY0700,SY070005,C3942,NA,NA,New people reached with GBV services  - GBV100,67,jan,Completed,Protection,Service delivery/support,C3942
SY07,SY0700,SY070004,C3932,NA,NA,New people reached with GBV services  - GBV100,51,jan,Completed,Protection,Service delivery/support,C3932
SY02,SY0204,SY020401,C1605,NA,NA,New people reached with GBV services  - GBV100,221,jan,Completed,Protection,Service delivery/support,C1605
SY07,SY0700,SY070005,C3943,NA,NA,New people reached with GBV services  - GBV100,200,jan,Completed,Protection,Service delivery/support,C3943
SY07,SY0700,SY070005,C3943,NA,NA,New people reached with GBV services  - GBV100,1,jan,Completed,Protection,Service delivery/support,C3943
SY07,SY0704,SY070402,C4252,NA,NA,New people reached with GBV services  - GBV100,247,jan,Completed,Protection,Service delivery/support,C4252
SY07,SY0700,SY070000,C3871,NA,NA,New people reached with GBV services  - GBV100,373,jan,Completed,Protection,Service delivery/support,C3871
SY07,SY0700,SY070000,C3871,NA,NA,New people reached with GBV services  - GBV100,6,jan,Completed,Protection,Service delivery/support,C3871
SY07,SY0700,SY070005,C3947,NA,NA,New people reached with GBV services  - GBV100,358,jan,Completed,Protection,Service delivery/support,C3947
SY07,SY0700,SY070005,C3947,NA,NA,New people reached with GBV services  - GBV100,2,jan,Completed,Protection,Service delivery/support,C3947
SY07,SY0703,SY070305,C4176,NA,NA,New people reached with GBV services  - GBV100,440,jan,Completed,Protection,Service delivery/support,C4176
SY07,SY0703,SY070305,C4176,NA,NA,New people reached with GBV services  - GBV100,5,jan,Completed,Protection,Service delivery/support,C4176
SY07,SY0703,SY070302,C4140,NA,NA,New people reached with GBV services  - GBV100,130,jan,Completed,Protection,Service delivery/support,C4140
SY07,SY0703,SY070302,C4140,NA,NA,New people reached with GBV services  - GBV100,1,jan,Completed,Protection,Service delivery/support,C4140
SY07,SY0703,SY070303,C4157,NA,NA,New people reached with GBV services  - GBV100,59,jan,Completed,Protection,Service delivery/support,C4157
SY02,SY0204,SY020401,C1579,NA,NA,New people reached with GBV services  - GBV100,51,jan,Completed,Protection,Service delivery/support,C1579
SY02,SY0204,SY020401,C1577,CP001968,Bhorta / بحورته,New people reached with GBV services  - GBV100,6,jan,Completed,Protection,Service delivery/support,CP001968
SY02,SY0204,SY020401,C1591,CP001645,Sawamaa Aghtrin / صوامع أخترين,New people reached with GBV services  - GBV100,8,jan,Completed,Protection,Service delivery/support,CP001645
SY02,SY0204,SY020401,C1609,CP001619,Kaeebeh / كعيبة,New people reached with GBV services  - GBV100,24,jan,Completed,Protection,Service delivery/support,CP001619
SY02,SY0204,SY020401,C1605,CP002191,Kariat Niriman Alsham / قرية نريمان الشام,New people reached with GBV services  - GBV100,12,jan,Completed,Protection,Service delivery/support,CP002191
SY02,SY0204,SY020401,C1605,CP002191,Kariat Niriman Alsham / قرية نريمان الشام,New people reached with GBV services  - GBV100,1,jan,Completed,Protection,Service delivery/support,CP002191
SY02,SY0204,SY020401,C1615,CP001969,Wash / واش,New people reached with GBV services  - GBV100,31,jan,Completed,Protection,Service delivery/support,CP001969
SY02,SY0204,SY020401,C1579,NA,NA,New people reached with GBV services  - GBV100,73,jan,Completed,Protection,Service delivery/support,C1579
SY07,SY0703,SY070301,C6755,NA,NA,New people reached with GBV services  - GBV100,88,jan,Completed,Protection,Service delivery/support,C6755
SY07,SY0703,SY070301,C4126,NA,NA,New people reached with GBV services  - GBV100,137,jan,Completed,Protection,Service delivery/support,C4126
SY07,SY0703,SY070301,C4129,CP002256,Tqad / تقاد,New people reached with GBV services  - GBV100,160,jan,Completed,Protection,Service delivery/support,CP002256
SY07,SY0703,SY070301,C4129,CP002256,Tqad / تقاد,New people reached with GBV services  - GBV100,1,jan,Completed,Protection,Service delivery/support,CP002256
SY07,SY0703,SY070301,C4132,NA,NA,New people reached with GBV services  - GBV100,19,jan,Completed,Protection,Service delivery/support,C4132
SY07,SY0700,SY070005,C3944,NA,NA,People trained on GBV related topics - GBV700,21,jan,Completed,Protection,Service delivery/support,C3944
SY02,SY0204,SY020400,C1564,NA,NA,New people reached with GBV services  - GBV100,125,jan,Completed,Protection,Service delivery/support,C1564
SY02,SY0204,SY020400,C1564,NA,NA,New people reached with GBV services  - GBV100,448,jan,Completed,Protection,Service delivery/support,C1564
SY07,SY0700,SY070005,C3949,NA,NA,New people reached with GBV services  - GBV100,82,jan,Completed,Protection,Service delivery/support,C3949
SY07,SY0700,SY070005,C3949,NA,NA,New people reached with GBV services  - GBV100,552,jan,Completed,Protection,Service delivery/support,C3949
SY07,SY0703,SY070302,C4140,NA,NA,New people reached with GBV services  - GBV100,91,jan,Completed,Protection,Service delivery/support,C4140
SY07,SY0703,SY070302,C4140,NA,NA,New people reached with GBV services  - GBV100,762,jan,Completed,Protection,Service delivery/support,C4140
SY02,SY0204,SY020400,C6669,NA,NA,New people reached with GBV services  - GBV100,19,jan,Completed,Protection,Service delivery/support,C6669
SY02,SY0204,SY020400,C6669,NA,NA,New people reached with GBV services  - GBV100,85,jan,Completed,Protection,Service delivery/support,C6669
SY02,SY0203,SY020302,C1426,NA,NA,New people reached with GBV services  - GBV100,18,jan,Completed,Protection,Service delivery/support,C1426
SY02,SY0203,SY020302,C1426,NA,NA,New people reached with GBV services  - GBV100,463,jan,Completed,Protection,Service delivery/support,C1426
SY02,SY0200,SY020004,C1139,NA,NA,New people reached with GBV services  - GBV100,9,jan,Completed,Protection,Service delivery/support,C1139
SY02,SY0200,SY020004,C1139,NA,NA,New people reached with GBV services  - GBV100,332,jan,Completed,Protection,Service delivery/support,C1139
SY02,SY0202,SY020200,C1188,NA,NA,New people reached with GBV services  - GBV100,87,jan,Completed,Protection,Service delivery/support,C1188
SY02,SY0202,SY020200,C1209,NA,NA,New people reached with GBV services  - GBV100,25,jan,Completed,Protection,Service delivery/support,C1209
SY02,SY0204,SY020401,C1581,NA,NA,New people reached with GBV services  - GBV100,52,jan,Completed,Protection,Service delivery/support,C1581
SY07,SY0703,SY070301,C4129,NA,NA,New people reached with GBV services  - GBV100,903,jan,Completed,Protection,Service delivery/support,C4129
SY07,SY0703,SY070301,C4129,NA,NA,New people reached with GBV services  - GBV100,9,jan,Completed,Protection,Service delivery/support,C4129
SY02,SY0204,SY020400,C1564,NA,NA,New people reached with GBV services  - GBV100,15,jan,Completed,Protection,Service delivery/support,C1564
SY02,SY0204,SY020400,C1564,NA,NA,New people reached with GBV services  - GBV100,5,jan,Completed,Protection,Service delivery/support,C1564
SY02,SY0204,SY020403,C1643,NA,NA,New people reached with GBV services  - GBV100,61,jan,Completed,Protection,Service delivery/support,C1643
SY07,SY0700,SY070005,C3949,NA,NA,New people reached with GBV services  - GBV100,46,jan,Completed,Protection,Service delivery/support,C3949
SY07,SY0704,SY070403,C4263,CP000300,Az-Zawf 2 (Sadaka Tashi) / الزواف 2 ( صدقة ),New people reached with GBV services  - GBV100,194,feb,Completed,Protection,Service delivery/support,CP000300
SY07,SY0704,SY070403,C4263,CP000300,Az-Zawf 2 (Sadaka Tashi) / الزواف 2 ( صدقة ),New people reached with GBV services  - GBV100,22,feb,Completed,Protection,Service delivery/support,CP000300
SY07,SY0704,SY070403,C4263,CP000300,Az-Zawf 2 (Sadaka Tashi) / الزواف 2 ( صدقة ),New people reached with GBV services  - GBV100,397,feb,Completed,Protection,Service delivery/support,CP000300
SY07,SY0704,SY070403,C4263,CP000300,Az-Zawf 2 (Sadaka Tashi) / الزواف 2 ( صدقة ),New people reached with GBV services  - GBV100,381,feb,Completed,Protection,Service delivery/support,CP000300
SY07,SY0704,SY070403,C4263,CP000300,Az-Zawf 2 (Sadaka Tashi) / الزواف 2 ( صدقة ),New people reached with GBV services  - GBV100,5,feb,Completed,Protection,Service delivery/support,CP000300
SY07,SY0704,SY070401,C4231,CP000113,Salah Alden (Kherbet Eljoz) / صلاح الدين(خربة الجوز),New people reached with GBV services  - GBV100,128,feb,Completed,Protection,Service delivery/support,CP000113
SY07,SY0704,SY070401,C4231,CP000113,Salah Alden (Kherbet Eljoz) / صلاح الدين(خربة الجوز),New people reached with GBV services  - GBV100,3,feb,Completed,Protection,Service delivery/support,CP000113
SY07,SY0704,SY070401,C4231,CP000113,Salah Alden (Kherbet Eljoz) / صلاح الدين(خربة الجوز),New people reached with GBV services  - GBV100,492,feb,Completed,Protection,Service delivery/support,CP000113
SY07,SY0704,SY070401,C4231,CP000113,Salah Alden (Kherbet Eljoz) / صلاح الدين(خربة الجوز),New people reached with GBV services  - GBV100,18,feb,Completed,Protection,Service delivery/support,CP000113
SY07,SY0704,SY070401,C4231,CP000113,Salah Alden (Kherbet Eljoz) / صلاح الدين(خربة الجوز),New people reached with GBV services  - GBV100,8,feb,Completed,Protection,Service delivery/support,CP000113
SY02,SY0203,SY020300,C1366,NA,NA,New people reached with GBV services  - GBV100,20,feb,Completed,Protection,Service delivery/support,C1366
SY07,SY0703,SY070301,C4130,CP000829,Ataa(Atmeh) 2 / عطاء2(أطمة),New people reached with GBV services  - GBV100,2,feb,Completed,Protection,Service delivery/support,CP000829
SY07,SY0703,SY070301,C4130,CP000800,Al Reeh Al Mursalah / الريح المرسلة,New people reached with GBV services  - GBV100,3,feb,Completed,Protection,Service delivery/support,CP000800
SY07,SY0703,SY070301,C4130,CP001924,Al Kuwaity / الكويتي,New people reached with GBV services  - GBV100,15,feb,Completed,Protection,Service delivery/support,CP001924
SY07,SY0703,SY070301,C4131,NA,Al Shuhada / الشهداء,New people reached with GBV services  - GBV100,3,feb,Completed,Protection,Service delivery/support,Al Shuhada / الشهداء
SY07,SY0703,SY070301,C4131,CP000166,Al Bayan (Qah) / البيان(قاح),New people reached with GBV services  - GBV100,4,feb,Completed,Protection,Service delivery/support,CP000166
SY07,SY0703,SY070301,C4131,NA,Qarit Dar Hammoud / قرية دار حمود,New people reached with GBV services  - GBV100,13,feb,Completed,Protection,Service delivery/support,Qarit Dar Hammoud / قرية دار حمود
SY07,SY0703,SY070301,C4131,CP001191,Masaken Alsultan Abd Alhameed / مساكن السلطان عبد الحميد,New people reached with GBV services  - GBV100,1,feb,Completed,Protection,Service delivery/support,CP001191
SY07,SY0703,SY070301,C4127,NA,Abwab Alrahma / أبواب الرحمة,New people reached with GBV services  - GBV100,17,feb,Completed,Protection,Service delivery/support,Abwab Alrahma / أبواب الرحمة
SY07,SY0703,SY070301,C6692,CP001765,Mulhaq almashhad Alaramel / ملحق المشهد الارامل,New people reached with GBV services  - GBV100,3,feb,Completed,Protection,Service delivery/support,CP001765
SY07,SY0703,SY070301,C4129,CP000411,Qariat Al Iman / قرية الايمان,New people reached with GBV services  - GBV100,3,feb,Completed,Protection,Service delivery/support,CP000411
SY07,SY0703,SY070301,C4129,NA,Ataa 1 (Hamad Al Ammar 2-Dar Al Riaya - Orphans) / عطاء 1 - دار رعاية الأيتام,New people reached with GBV services  - GBV100,10,feb,Completed,Protection,Service delivery/support,Ataa 1 (Hamad Al Ammar 2-Dar Al Riaya - Orphans) / عطاء 1 - دار رعاية الأيتام
SY07,SY0703,SY070301,C4130,CP000815,Al Amana / الأمانة,New people reached with GBV services  - GBV100,75,feb,Completed,Protection,Service delivery/support,CP000815
SY07,SY0703,SY070301,C4129,NA,Al Rahma / الرحمة,New people reached with GBV services  - GBV100,110,feb,Completed,Protection,Service delivery/support,Al Rahma / الرحمة
SY07,SY0703,SY070303,C4157,NA,NA,New people reached with GBV services  - GBV100,170,feb,Completed,Protection,Service delivery/support,C4157
SY07,SY0703,SY070303,C4157,NA,NA,People trained on GBV related topics - GBV700,20,feb,Completed,Protection,Service delivery/support,C4157
SY07,SY0700,SY070000,C3871,NA,NA,New people reached with GBV services  - GBV100,30,feb,Completed,Protection,Service delivery/support,C3871
SY07,SY0700,SY070005,C3942,NA,NA,New people reached with GBV services  - GBV100,45,feb,Completed,Protection,Service delivery/support,C3942
SY07,SY0700,SY070004,C3932,NA,NA,New people reached with GBV services  - GBV100,13,feb,Completed,Protection,Service delivery/support,C3932
SY07,SY0700,SY070004,C3932,NA,NA,New people reached with GBV services  - GBV100,88,feb,Completed,Protection,Service delivery/support,C3932
SY02,SY0204,SY020401,C1605,NA,NA,New people reached with GBV services  - GBV100,250,feb,Completed,Protection,Service delivery/support,C1605
SY07,SY0700,SY070005,C3943,NA,NA,New people reached with GBV services  - GBV100,37,feb,Completed,Protection,Service delivery/support,C3943
SY07,SY0700,SY070005,C3943,NA,NA,New people reached with GBV services  - GBV100,153,feb,Completed,Protection,Service delivery/support,C3943
SY07,SY0700,SY070005,C3943,NA,NA,New people reached with GBV services  - GBV100,4,feb,Completed,Protection,Service delivery/support,C3943
SY07,SY0704,SY070402,C4252,NA,NA,New people reached with GBV services  - GBV100,153,feb,Completed,Protection,Service delivery/support,C4252
SY07,SY0704,SY070402,C4252,NA,NA,New people reached with GBV services  - GBV100,156,feb,Completed,Protection,Service delivery/support,C4252
SY07,SY0703,SY070301,C4121,NA,NA,New people reached with GBV services  - GBV100,237,feb,Completed,Protection,Service delivery/support,C4121
SY07,SY0700,SY070000,C3871,NA,NA,New people reached with GBV services  - GBV100,605,feb,Completed,Protection,Service delivery/support,C3871
SY07,SY0700,SY070000,C3871,NA,NA,New people reached with GBV services  - GBV100,1,feb,Completed,Protection,Service delivery/support,C3871
SY07,SY0700,SY070005,C3947,NA,NA,New people reached with GBV services  - GBV100,165,feb,Completed,Protection,Service delivery/support,C3947
SY07,SY0700,SY070005,C3947,NA,NA,New people reached with GBV services  - GBV100,1,feb,Completed,Protection,Service delivery/support,C3947
SY07,SY0703,SY070305,C4176,NA,NA,New people reached with GBV services  - GBV100,445,feb,Completed,Protection,Service delivery/support,C4176
SY07,SY0703,SY070302,C4140,NA,NA,New people reached with GBV services  - GBV100,256,feb,Completed,Protection,Service delivery/support,C4140
SY07,SY0703,SY070302,C4140,NA,NA,New people reached with GBV services  - GBV100,4,feb,Completed,Protection,Service delivery/support,C4140
SY07,SY0703,SY070303,C4157,NA,NA,New people reached with GBV services  - GBV100,188,feb,Completed,Protection,Service delivery/support,C4157
SY02,SY0204,SY020401,C1579,NA,NA,New people reached with GBV services  - GBV100,14,feb,Completed,Protection,Service delivery/support,C1579
SY02,SY0204,SY020401,C1579,NA,NA,New people reached with GBV services  - GBV100,40,feb,Completed,Protection,Service delivery/support,C1579
SY02,SY0204,SY020401,C1579,CP001967,Ziyadiyeh / الزيادية,New people reached with GBV services  - GBV100,7,feb,Completed,Protection,Service delivery/support,CP001967
SY02,SY0204,SY020401,C1579,NA,NA,New people reached with GBV services  - GBV100,2,feb,Completed,Protection,Service delivery/support,C1579
SY02,SY0204,SY020401,C1579,NA,NA,New people reached with GBV services  - GBV100,20,feb,Completed,Protection,Service delivery/support,C1579
SY02,SY0204,SY020401,C1579,NA,NA,New people reached with GBV services  - GBV100,3,feb,Completed,Protection,Service delivery/support,C1579
SY02,SY0204,SY020401,C1591,CP001645,Sawamaa Aghtrin / صوامع أخترين,New people reached with GBV services  - GBV100,63,feb,Completed,Protection,Service delivery/support,CP001645
SY02,SY0204,SY020401,C1591,CP001645,Sawamaa Aghtrin / صوامع أخترين,New people reached with GBV services  - GBV100,1,feb,Completed,Protection,Service delivery/support,CP001645
SY02,SY0204,SY020401,C1591,CP001645,Sawamaa Aghtrin / صوامع أخترين,New people reached with GBV services  - GBV100,1,feb,Completed,Protection,Service delivery/support,CP001645
SY02,SY0204,SY020401,C1591,CP001645,Sawamaa Aghtrin / صوامع أخترين,New people reached with GBV services  - GBV100,4,feb,Completed,Protection,Service delivery/support,CP001645
SY02,SY0204,SY020401,C1609,CP001619,Kaeebeh / كعيبة,New people reached with GBV services  - GBV100,527,feb,Completed,Protection,Service delivery/support,CP001619
SY02,SY0204,SY020401,C1609,CP001619,Kaeebeh / كعيبة,New people reached with GBV services  - GBV100,2,feb,Completed,Protection,Service delivery/support,CP001619
SY02,SY0204,SY020405,C1672,CP001408,Kafr1-2 / كفر1-2,New people reached with GBV services  - GBV100,20,feb,Completed,Protection,Service delivery/support,CP001408
SY02,SY0204,SY020405,C1672,CP001408,Kafr1-2 / كفر1-2,New people reached with GBV services  - GBV100,6,feb,Completed,Protection,Service delivery/support,CP001408
SY07,SY0703,SY070301,C4127,CP002252,Ruhamaa Bainahum 2 / رحماء بينهم 2,New people reached with GBV services  - GBV100,152,feb,Completed,Protection,Service delivery/support,CP002252
SY07,SY0703,SY070301,C4127,CP002252,Ruhamaa Bainahum 2 / رحماء بينهم 2,New people reached with GBV services  - GBV100,1,feb,Completed,Protection,Service delivery/support,CP002252
SY07,SY0703,SY070301,C6755,NA,Al Mahabbah / المحبة,New people reached with GBV services  - GBV100,242,feb,Completed,Protection,Service delivery/support,Al Mahabbah / المحبة
SY07,SY0703,SY070301,C6755,NA,Al Mahabbah / المحبة,New people reached with GBV services  - GBV100,1,feb,Completed,Protection,Service delivery/support,Al Mahabbah / المحبة
SY07,SY0703,SY070301,C6755,NA,NA,New people reached with GBV services  - GBV100,46,feb,Completed,Protection,Service delivery/support,C6755
SY07,SY0703,SY070301,C6693,NA,NA,New people reached with GBV services  - GBV100,34,feb,Completed,Protection,Service delivery/support,C6693
SY07,SY0703,SY070301,C6693,NA,NA,New people reached with GBV services  - GBV100,48,feb,Completed,Protection,Service delivery/support,C6693
SY07,SY0703,SY070301,C4126,CP000045,Al Dana / الدانا,New people reached with GBV services  - GBV100,43,feb,Completed,Protection,Service delivery/support,CP000045
SY07,SY0703,SY070301,C4126,CP000045,Al Dana / الدانا,New people reached with GBV services  - GBV100,35,feb,Completed,Protection,Service delivery/support,CP000045
SY07,SY0703,SY070301,C4126,CP001730,Alnjmeh / النجمة,New people reached with GBV services  - GBV100,38,feb,Completed,Protection,Service delivery/support,CP001730
SY07,SY0703,SY070301,C4126,CP001730,Alnjmeh / النجمة,New people reached with GBV services  - GBV100,1,feb,Completed,Protection,Service delivery/support,CP001730
SY07,SY0703,SY070301,C4126,CP001728,Al-Beera / البيرة,New people reached with GBV services  - GBV100,1,feb,Completed,Protection,Service delivery/support,CP001728
SY07,SY0703,SY070301,C4126,CP001656,Al Ameen / الأمين,New people reached with GBV services  - GBV100,9,feb,Completed,Protection,Service delivery/support,CP001656
SY07,SY0703,SY070301,C4126,CP001730,Alnjmeh / النجمة,New people reached with GBV services  - GBV100,194,feb,Completed,Protection,Service delivery/support,CP001730
SY07,SY0703,SY070301,C4126,CP001728,Al-Beera / البيرة,New people reached with GBV services  - GBV100,7,feb,Completed,Protection,Service delivery/support,CP001728
SY07,SY0703,SY070301,C4129,CP001989,Affad / أفاد,New people reached with GBV services  - GBV100,21,feb,Completed,Protection,Service delivery/support,CP001989
SY07,SY0703,SY070301,C6692,CP001990,Saed(Mashhad Ruhin) / ساعد(مشهد روحين),New people reached with GBV services  - GBV100,35,feb,Completed,Protection,Service delivery/support,CP001990
SY07,SY0703,SY070301,C6692,CP001990,Saed(Mashhad Ruhin) / ساعد(مشهد روحين),New people reached with GBV services  - GBV100,19,feb,Completed,Protection,Service delivery/support,CP001990
SY07,SY0703,SY070301,C4121,CP000445,Ghetaa Al Rahma2 (Al Kamouneh) / غطاء الرحمة2 (الكمونة),New people reached with GBV services  - GBV100,45,feb,Completed,Protection,Service delivery/support,CP000445
SY07,SY0703,SY070301,C4124,CP001618,Andalus Suburb / ضاحية الاندلس,New people reached with GBV services  - GBV100,8,feb,Completed,Protection,Service delivery/support,CP001618
SY07,SY0703,SY070301,C4124,CP001618,Andalus Suburb / ضاحية الاندلس,New people reached with GBV services  - GBV100,12,feb,Completed,Protection,Service delivery/support,CP001618
SY07,SY0700,SY070000,C3871,NA,NA,New people reached with GBV services  - GBV100,100,feb,Completed,Protection,Service delivery/support,C3871
SY07,SY0700,SY070000,C3871,NA,NA,New people reached with GBV services  - GBV100,100,feb,Completed,Protection,Service delivery/support,C3871
SY02,SY0204,SY020400,C1564,NA,NA,New people reached with GBV services  - GBV100,36,feb,Completed,Protection,Service delivery/support,C1564
SY02,SY0204,SY020400,C1564,NA,NA,New people reached with GBV services  - GBV100,39,feb,Completed,Protection,Service delivery/support,C1564
SY07,SY0700,SY070005,C3949,NA,NA,New people reached with GBV services  - GBV100,109,feb,Completed,Protection,Service delivery/support,C3949
SY07,SY0700,SY070005,C3949,NA,NA,New people reached with GBV services  - GBV100,317,feb,Completed,Protection,Service delivery/support,C3949
SY07,SY0703,SY070302,C4140,NA,NA,New people reached with GBV services  - GBV100,48,feb,Completed,Protection,Service delivery/support,C4140
SY07,SY0703,SY070302,C4140,NA,NA,New people reached with GBV services  - GBV100,19,feb,Completed,Protection,Service delivery/support,C4140
SY02,SY0204,SY020400,C6669,NA,NA,New people reached with GBV services  - GBV100,1,feb,Completed,Protection,Service delivery/support,C6669
SY07,SY0703,SY070305,C4184,NA,NA,New people reached with GBV services  - GBV100,134,feb,Completed,Protection,Service delivery/support,C4184
SY07,SY0703,SY070305,C4184,NA,NA,New people reached with GBV services  - GBV100,77,feb,Completed,Protection,Service delivery/support,C4184
SY02,SY0204,SY020400,C1564,NA,NA,New people reached with GBV services  - GBV100,812,feb,Completed,Protection,Service delivery/support,C1564
SY02,SY0204,SY020400,C6669,NA,NA,New people reached with GBV services  - GBV100,123,feb,Completed,Protection,Service delivery/support,C6669
SY07,SY0700,SY070005,C3949,NA,NA,New people reached with GBV services  - GBV100,755,feb,Completed,Protection,Service delivery/support,C3949
SY07,SY0703,SY070302,C4140,NA,NA,New people reached with GBV services  - GBV100,761,feb,Completed,Protection,Service delivery/support,C4140
SY07,SY0703,SY070305,C4184,NA,NA,New people reached with GBV services  - GBV100,156,feb,Completed,Protection,Service delivery/support,C4184
