activity1,activity2,corr,communities,cluster1,cluster2
# of children 6-59 months reached with HEB for 2 weeks,"1.07.12 Provide maintenance and running costs, including cleaning material, stationery for school personnel or fuel, in learning spaces and schools",0.426,59,Nutrition,Education
1.2.1.2: Installation of new/ replacement of existing tents,2.03.1 Provide children with school-based psychosocial support programs in formal settings,0.426,24,SNFI,Education
cholera_sew,2.03.1 Provide children with school-based psychosocial support programs in formal settings,0.425,29,WASH,Education
water_trucking,"1.07.12 Provide maintenance and running costs, including cleaning material, stationery for school personnel or fuel, in learning spaces and schools",0.424,61,WASH,Education
"Community-based child protection, including psychosocial support and parenting programmes - CP2",1.07.13 Provide heaters or fuel for heating in learning spaces and schools in formal settings,0.424,38,Protection,Education
# of boys and girls (6 – 59 months) screened for malnutrition,1.02.1 Support the provision of formal education to children and youth,0.423,123,Nutrition,Education
Number of caregivers including pregnant and lactating women (PLWs) counselled or reached with awareness on appropriate infant and young child feeding (IYCF),1.02.1 Support the provision of formal education to children and youth,0.423,119,Nutrition,Education
# of PLWs with moderate acute malnutrition admitted for treatment,"2.02.1 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in formal settings",0.423,90,Nutrition,Education
"Community-based child protection, including psychosocial support and parenting programmes - CP2",# of boys and girls (6 - 59 months) having severe acute malnutrition without medical complication newly admitted for  treatment,0.422,52,Protection,Nutrition
des_beneficiaries,"2.02.2 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in non-formal settings",0.422,47,WASH,Education
Psychosocial support (PSS) - GP4,"# of adolescent girls who received micronutrients, including iron, folate and Micronutrient tablets for six months",0.422,38,Protection,Nutrition
Risk education - MA1,"1.04.1 Provide children and youth with non-formal education programs, including remedial classes, Accelerated Learning Programs (ALP), catch-up classes, literacy and numeracy classes, Self-Learning Program (SLP), etc.",0.422,35,Protection,Education
# of boys and girls (6 - 59 months) having severe acute malnutrition without medical complication newly admitted for  treatment,"1.04.1 Provide children and youth with non-formal education programs, including remedial classes, Accelerated Learning Programs (ALP), catch-up classes, literacy and numeracy classes, Self-Learning Program (SLP), etc.",0.421,59,Nutrition,Education
New people reached with GBV services  - GBV100,Free Bread Distribution,0.421,24,Protection,FSL
water_trucking,"1.04.1 Provide children and youth with non-formal education programs, including remedial classes, Accelerated Learning Programs (ALP), catch-up classes, literacy and numeracy classes, Self-Learning Program (SLP), etc.",0.42,62,WASH,Education
Psychosocial support (PSS) - GP4,sew_rehab_repair,0.42,27,Protection,WASH
Psychosocial support (PSS) - GP4,2.03.2 Provide children with school-based psychosocial support programs in non-formal settings,0.42,27,Protection,Education
pwd_beneficiaries,"1.04.1 Provide children and youth with non-formal education programs, including remedial classes, Accelerated Learning Programs (ALP), catch-up classes, literacy and numeracy classes, Self-Learning Program (SLP), etc.",0.42,21,WASH,Education
Risk education - MA1,"2.06.2 Provide children, teachers and education personnel Covid-19 related awareness raising",0.42,21,Protection,Education
Risk education - MA1,Emergency Food Rations (EFRs),0.419,25,Protection,FSL
Case management and Referrals - GP5,1.13.2 Provide children with school bags in non-formal settings,0.419,25,Protection,Education
"Community-based child protection, including psychosocial support and parenting programmes - CP2",# of mother to mother support groups established in line with the IYCF-E guidelines,0.419,21,Protection,Nutrition
Psychosocial support (PSS) - GP4,# of children 0-6 months EBF,0.418,43,Protection,Nutrition
# of boys and girls (6 - 59 months) having severe acute malnutrition without medical complication newly admitted for  treatment,"2.02.2 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in non-formal settings",0.417,54,Nutrition,Education
"# of adolescent girls who received micronutrients, including iron, folate and Micronutrient tablets for six months","2.02.2 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in non-formal settings",0.417,37,Nutrition,Education
Case management and Referrals - GP5,Ready to Eat Ration,0.416,62,Protection,FSL
1.1.1.1: Provision of core NFIs,"1.04.1 Provide children and youth with non-formal education programs, including remedial classes, Accelerated Learning Programs (ALP), catch-up classes, literacy and numeracy classes, Self-Learning Program (SLP), etc.",0.416,27,SNFI,Education
Case management and Referrals - GP5,2.05.4 Provide children with learning materials such as NGO developed and SLP materials etc. (excluding textbooks)in non-formal settings,0.416,23,Protection,Education
# of caregivers (including PLW) received messages/education on appropriate IYCF-E through group sessions.,Bread/Flour distribution,0.415,95,Nutrition,FSL
Psychosocial support (PSS) - GP4,chlorin_cholera,0.415,28,Protection,WASH
# of caregivers with infants 0-6 months that are counselled on IYCF,"2.02.1 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in formal settings",0.413,74,Nutrition,Education
cholera_sew,1.2.1.2: Installation of new/ replacement of existing tents,0.413,22,WASH,SNFI
chlorin_cholera,1.1.1.1: Provision of core NFIs,0.412,21,WASH,SNFI
"Community-based child protection, including psychosocial support and parenting programmes - CP2","Mixed Food Items (MFIs, SFBs)",0.411,22,Protection,FSL
# of children 0-6 months EBF,"2.02.1 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in formal settings",0.41,61,Nutrition,Education
"Community-based child protection, including psychosocial support and parenting programmes - CP2","# of adolescent girls who received micronutrients, including iron, folate and Micronutrient tablets for six months",0.41,35,Protection,Nutrition
Emergency Food Rations (EFRs),"1.04.1 Provide children and youth with non-formal education programs, including remedial classes, Accelerated Learning Programs (ALP), catch-up classes, literacy and numeracy classes, Self-Learning Program (SLP), etc.",0.41,27,FSL,Education
Case management and Referrals - GP5,1.06.1 Conduct Back-to-Learning (BTL) campaigns,0.41,25,Protection,Education
# of boys and girls (6 - 59 months) with moderate acute malnutrition newly admitted for treatment,"2.01.1 Provide professional development to teaching staff and education personnel, including psychosocial support, subject knowledge, pedagogical skills, classroom managements, positive discipline, life skills, technical and vocational training, life skills and citizenship education, remote teaching pedagogy, education in emergencies (EiE), national/INEE minimum standards,codes of conduct and anti-bullying, mine risk education, safety/security protocols, etc. in formal settings",0.409,86,Nutrition,Education
Case management and Referrals - GP5,cholera_sew,0.409,35,Protection,WASH
hk_ben,1.1.1.1: Provision of core NFIs,0.409,32,WASH,SNFI
Free Bread Distribution,"2.02.2 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in non-formal settings",0.409,32,FSL,Education
"Community-based child protection, including psychosocial support and parenting programmes - CP2",sew_rehab_repair,0.409,25,Protection,WASH
# of children 6-59 months reached with HEB for 2 weeks,1.9   Provide children with school water trucking,0.408,90,Nutrition,Education
water_trucking,"2.02.2 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in non-formal settings",0.408,56,WASH,Education
Psychosocial support (PSS) - GP4,beneficiaries_toilets,0.408,34,Protection,WASH
des_beneficiaries,"1.11 Provide schools with safety and security equipment (First Aid kits, Fire Fighting Equipment, Early Warning Equipment...etc)",0.408,31,WASH,Education
"# of adolescent girls who received micronutrients, including iron, folate and Micronutrient tablets for six months",2.03.2 Provide children with school-based psychosocial support programs in non-formal settings,0.408,29,Nutrition,Education
1.1.1.1: Provision of core NFIs,"1.07.12 Provide maintenance and running costs, including cleaning material, stationery for school personnel or fuel, in learning spaces and schools",0.408,26,SNFI,Education
hp_pwd_ben,2.03.2 Provide children with school-based psychosocial support programs in non-formal settings,0.408,23,WASH,Education
hk_ben,1.2.1.2: Installation of new/ replacement of existing tents,0.407,31,WASH,SNFI
Emergency Food Rations (EFRs),2.03.1 Provide children with school-based psychosocial support programs in formal settings,0.407,24,FSL,Education
cholera_sew,"2.06.1 Provide children, teachers and education personnel health and hygiene awareness",0.407,22,WASH,Education
cholera_hp_rcce_iec,Emergency Food Rations (EFRs),0.406,21,WASH,FSL
Case management and Referrals - GP5,swm_support_benf,0.405,73,Protection,WASH
swm_support_benf,"1.07.12 Provide maintenance and running costs, including cleaning material, stationery for school personnel or fuel, in learning spaces and schools",0.405,63,WASH,Education
cholera_safe_water,1.2.1.2: Installation of new/ replacement of existing tents,0.405,22,WASH,SNFI
# of PLWs with moderate acute malnutrition admitted for treatment,"2.01.1 Provide professional development to teaching staff and education personnel, including psychosocial support, subject knowledge, pedagogical skills, classroom managements, positive discipline, life skills, technical and vocational training, life skills and citizenship education, remote teaching pedagogy, education in emergencies (EiE), national/INEE minimum standards,codes of conduct and anti-bullying, mine risk education, safety/security protocols, etc. in formal settings",0.404,79,Nutrition,Education
cholera_hp_rcce_iec,"1.04.1 Provide children and youth with non-formal education programs, including remedial classes, Accelerated Learning Programs (ALP), catch-up classes, literacy and numeracy classes, Self-Learning Program (SLP), etc.",0.404,29,WASH,Education
# of PLWs with moderate acute malnutrition admitted for treatment,Bread/Flour distribution,0.403,90,Nutrition,FSL
"Community-based child protection, including psychosocial support and parenting programmes - CP2",water_trucking,0.403,53,Protection,WASH
water_trucking,2.03.1 Provide children with school-based psychosocial support programs in formal settings,0.403,53,WASH,Education
Psychosocial support (PSS) - GP4,swm_support_benf,0.401,60,Protection,WASH
des_beneficiaries,1.2.1.2: Installation of new/ replacement of existing tents,0.401,33,WASH,SNFI
Case management and Referrals - GP5,chlorin_cholera,0.401,32,Protection,WASH
cholera_sew,"1.04.1 Provide children and youth with non-formal education programs, including remedial classes, Accelerated Learning Programs (ALP), catch-up classes, literacy and numeracy classes, Self-Learning Program (SLP), etc.",0.401,31,WASH,Education
1.1.1.1: Provision of core NFIs,Free Bread Distribution,0.401,24,SNFI,FSL
# of boys and girls (6 - 59 months) having severe acute malnutrition without medical complication newly admitted for  treatment,"2.01.1 Provide professional development to teaching staff and education personnel, including psychosocial support, subject knowledge, pedagogical skills, classroom managements, positive discipline, life skills, technical and vocational training, life skills and citizenship education, remote teaching pedagogy, education in emergencies (EiE), national/INEE minimum standards,codes of conduct and anti-bullying, mine risk education, safety/security protocols, etc. in formal settings",0.4,71,Nutrition,Education
"Community-based child protection, including psychosocial support and parenting programmes - CP2",Bread/Flour distribution,0.4,45,Protection,FSL
