organization,organization_type,partner_code,implementing_partner_type,fund_source_donor,fund_category,sector,project_appeal,is_earthquake_response,sector_objective,sector_activity,activity_description,sector_indicator,indicator_unit,exact_value,beneficiaries,indirect_beneficiaries,total_beneficiaries,disaggregation_of_total_beneficiaries,exact_male_18,exact_female_18,exact_children_0_14,exact_youth_15_17,exact_pwd,exact_id_ps,exact_returnees,previously_assisted,if_yes_how_many_assisted_previously,total_unique_beneficiaries,delivery_modality,conditionality,restrictions,cash_delivery_mechanism,transfer_value,frequency,report_this_to_any_other_sector,if_yes_which_sector,governorate,admin1pcode,district,admin2pcode,sub_district,admin3pcode,community,admin4pcode,neighborhood,neighborhood_pcode,other_place_name,response_modality,hub,implementing_month,reporting_cycle,status,comment,order,total_usd,exact_male_18_from_total_beneficiaries,exact_female_18_from_total_beneficiaries,exact_children_0_14_from_total_beneficiaries,exact_youth_15_17_from_total_beneficiaries,exact_pwd_from_total_beneficiaries,exact_id_ps_from_total_beneficiaries,exact_returnees_from_total_beneficiaries,project_code_hrp,project_name,relevant_indicator2,specification_field_if_relevant_indicator_is_blank_then_leave_this_field_empty3,disaggregation_of_total_beneficiaries4
Ent_0002,INGO,Ent_0002,INGO,Ent_0205,NGO / Other,Early Recovery and Livelihood,Non-HRP,No,SO2 Increase access to Livelihood and job opportunities,Activity 2.01 Financial support including grants and seed funds and subsidized loans to businesses with high potential for job retention and creation,NA,"Indicator 2.01.1 # of people supported to rehabilitate, develop, or start a social or business entrepreneurship initiative",People,5,25,0,25,Actual,0,0,0,0,0,0,0,No,0,25,Cash,Conditional,Restricted,Money Transfer Agent,1100,One-off,No,NA,Aleppo,SY02,A'zaz,SY0204,Aghtrin,SY020401,Ghoz,C1607,NA,NA,NA,Cross Border,HLG,01) Jan,01) Jan,NA,NA,20,5500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ent_0002,INGO,Ent_0002,INGO,Ent_0214,NGO / Other,Early Recovery and Livelihood,Non-HRP,No,SO2 Increase access to Livelihood and job opportunities,Activity 2.01 Financial support including grants and seed funds and subsidized loans to businesses with high potential for job retention and creation,NA,"Indicator 2.01.1 # of people supported to rehabilitate, develop, or start a social or business entrepreneurship initiative",People,31,155,0,155,Actual,0,0,0,0,0,0,0,No,0,155,Cash,Conditional,Restricted,Money Transfer Agent,700,One-off,No,NA,Aleppo,SY02,A'zaz,SY0204,Aghtrin,SY020401,Ghoz,C1607,NA,NA,NA,Cross Border,HLG,01) Jan,01) Jan,NA,NA,32,21700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ent_0002,INGO,Ent_0002,INGO,Ent_0205,NGO / Other,Early Recovery and Livelihood,Non-HRP,No,SO2 Increase access to Livelihood and job opportunities,Activity 2.01 Financial support including grants and seed funds and subsidized loans to businesses with high potential for job retention and creation,NA,"Indicator 2.01.1 # of people supported to rehabilitate, develop, or start a social or business entrepreneurship initiative",People,5,25,0,25,Actual,0,0,0,0,0,0,0,Yes,25,0,Cash,Conditional,Restricted,Money Transfer Agent,1100,One-off,No,NA,Aleppo,SY02,A'zaz,SY0204,Aghtrin,SY020401,Ghoz,C1607,NA,NA,NA,Cross Border,HLG,02) Feb,02) Feb,NA,NA,21,5500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ent_0002,INGO,Ent_0002,INGO,Ent_0214,NGO / Other,Early Recovery and Livelihood,Non-HRP,No,SO2 Increase access to Livelihood and job opportunities,Activity 2.01 Financial support including grants and seed funds and subsidized loans to businesses with high potential for job retention and creation,NA,"Indicator 2.01.1 # of people supported to rehabilitate, develop, or start a social or business entrepreneurship initiative",People,31,155,0,155,Actual,0,0,0,0,0,0,0,Yes,155,0,Cash,Conditional,Restricted,Money Transfer Agent,700,One-off,No,NA,Aleppo,SY02,A'zaz,SY0204,Aghtrin,SY020401,Ghoz,C1607,NA,NA,NA,Cross Border,HLG,02) Feb,02) Feb,NA,NA,33,21700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ent_0002,INGO,Ent_0002,INGO,Ent_0205,NGO / Other,Early Recovery and Livelihood,Non-HRP,No,SO2 Increase access to Livelihood and job opportunities,Activity 2.01 Financial support including grants and seed funds and subsidized loans to businesses with high potential for job retention and creation,NA,"Indicator 2.01.1 # of people supported to rehabilitate, develop, or start a social or business entrepreneurship initiative",People,3,15,0,15,Actual,0,0,0,0,0,0,0,No,0,15,Cash,Conditional,Restricted,Money Transfer Agent,1100,One-off,No,NA,Aleppo,SY02,A'zaz,SY0204,Aghtrin,SY020401,Qaar Kalbein,C1616,NA,NA,NA,Cross Border,HLG,01) Jan,01) Jan,NA,NA,18,3300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ent_0002,INGO,Ent_0002,INGO,Ent_0214,NGO / Other,Early Recovery and Livelihood,Non-HRP,No,SO2 Increase access to Livelihood and job opportunities,Activity 2.01 Financial support including grants and seed funds and subsidized loans to businesses with high potential for job retention and creation,NA,"Indicator 2.01.1 # of people supported to rehabilitate, develop, or start a social or business entrepreneurship initiative",People,24,120,0,120,Actual,0,0,0,0,0,0,0,No,0,120,Cash,Conditional,Restricted,Money Transfer Agent,700,One-off,No,NA,Aleppo,SY02,A'zaz,SY0204,Aghtrin,SY020401,Qaar Kalbein,C1616,NA,NA,NA,Cross Border,HLG,01) Jan,01) Jan,NA,NA,30,16800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ent_0002,INGO,Ent_0002,INGO,Ent_0205,NGO / Other,Early Recovery and Livelihood,Non-HRP,No,SO2 Increase access to Livelihood and job opportunities,Activity 2.01 Financial support including grants and seed funds and subsidized loans to businesses with high potential for job retention and creation,NA,"Indicator 2.01.1 # of people supported to rehabilitate, develop, or start a social or business entrepreneurship initiative",People,3,15,0,15,Actual,0,0,0,0,0,0,0,Yes,15,0,Cash,Conditional,Restricted,Money Transfer Agent,1100,One-off,No,NA,Aleppo,SY02,A'zaz,SY0204,Aghtrin,SY020401,Qaar Kalbein,C1616,NA,NA,NA,Cross Border,HLG,02) Feb,02) Feb,NA,NA,19,3300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ent_0002,INGO,Ent_0002,INGO,Ent_0214,NGO / Other,Early Recovery and Livelihood,Non-HRP,No,SO2 Increase access to Livelihood and job opportunities,Activity 2.01 Financial support including grants and seed funds and subsidized loans to businesses with high potential for job retention and creation,NA,"Indicator 2.01.1 # of people supported to rehabilitate, develop, or start a social or business entrepreneurship initiative",People,24,120,0,120,Actual,0,0,0,0,0,0,0,Yes,120,0,Cash,Conditional,Restricted,Money Transfer Agent,700,One-off,No,NA,Aleppo,SY02,A'zaz,SY0204,Aghtrin,SY020401,Qaar Kalbein,C1616,NA,NA,NA,Cross Border,HLG,02) Feb,02) Feb,NA,NA,31,16800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ent_0002,INGO,Ent_0002,INGO,Ent_0214,NGO / Other,Early Recovery and Livelihood,Non-HRP,No,SO2 Increase access to Livelihood and job opportunities,Activity 2.01 Financial support including grants and seed funds and subsidized loans to businesses with high potential for job retention and creation,NA,"Indicator 2.01.1 # of people supported to rehabilitate, develop, or start a social or business entrepreneurship initiative",People,10,50,0,50,Actual,0,0,0,0,0,0,0,No,0,50,Cash,Conditional,Restricted,Money Transfer Agent,700,One-off,No,NA,Aleppo,SY02,Jarablus,SY0208,Jarablus,SY020800,Jarablus,C2227,NA,NA,NA,Cross Border,HLG,01) Jan,01) Jan,NA,NA,28,7000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ent_0002,INGO,Ent_0002,INGO,Ent_0214,NGO / Other,Early Recovery and Livelihood,Non-HRP,No,SO2 Increase access to Livelihood and job opportunities,Activity 2.01 Financial support including grants and seed funds and subsidized loans to businesses with high potential for job retention and creation,NA,"Indicator 2.01.1 # of people supported to rehabilitate, develop, or start a social or business entrepreneurship initiative",People,10,50,0,50,Actual,0,0,0,0,0,0,0,Yes,50,0,Cash,Conditional,Restricted,Money Transfer Agent,700,One-off,No,NA,Aleppo,SY02,Jarablus,SY0208,Jarablus,SY020800,Jarablus,C2227,NA,NA,NA,Cross Border,HLG,02) Feb,02) Feb,NA,NA,29,7000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ent_0028,INGO,Ent_0028,INGO,NA,HF (Humanitarian Fund),Early Recovery and Livelihood,Syria HRP 22/23,No,SO2 Increase access to Livelihood and job opportunities,Activity 2.01 Financial support including grants and seed funds and subsidized loans to businesses with high potential for job retention and creation,NA,"Indicator 2.01.1 # of people supported to rehabilitate, develop, or start a social or business entrepreneurship initiative",People,27,135,0,135,Actual,0,0,0,0,0,0,0,No,0,135,Cash,Conditional,Restricted,Paper voucher,100,One-off,No,NA,Aleppo,SY02,Jarablus,SY0208,Jarablus,SY020800,Jarablus,C2227,NA,NA,NA,Cross Border,HLG,01) Jan,01) Jan,NA,NA,58,2700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ent_0028,INGO,Ent_0028,INGO,NA,HF (Humanitarian Fund),Early Recovery and Livelihood,Syria HRP 22/23,No,SO2 Increase access to Livelihood and job opportunities,Activity 2.01 Financial support including grants and seed funds and subsidized loans to businesses with high potential for job retention and creation,NA,"Indicator 2.01.1 # of people supported to rehabilitate, develop, or start a social or business entrepreneurship initiative",People,27,135,0,135,Actual,0,0,0,0,0,0,0,Yes,135,0,Cash,Conditional,Restricted,Paper voucher,100,One-off,No,NA,Aleppo,SY02,Jarablus,SY0208,Jarablus,SY020800,Jarablus,C2227,NA,NA,NA,Cross Border,HLG,02) Feb,02) Feb,NA,NA,59,2700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ent_0028,INGO,Ent_0028,INGO,NA,HF (Humanitarian Fund),Early Recovery and Livelihood,Syria HRP 22/23,No,SO2 Increase access to Livelihood and job opportunities,Activity 2.01 Financial support including grants and seed funds and subsidized loans to businesses with high potential for job retention and creation,NA,"Indicator 2.01.1 # of people supported to rehabilitate, develop, or start a social or business entrepreneurship initiative",People,3,15,0,15,Actual,0,0,0,0,0,0,0,No,0,15,Cash,Conditional,Restricted,Paper voucher,100,One-off,No,NA,Aleppo,SY02,Jarablus,SY0208,Jarablus,SY020800,Marma Elhajar,C2238,NA,NA,NA,Cross Border,HLG,01) Jan,01) Jan,NA,NA,54,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ent_0028,INGO,Ent_0028,INGO,NA,HF (Humanitarian Fund),Early Recovery and Livelihood,Syria HRP 22/23,No,SO2 Increase access to Livelihood and job opportunities,Activity 2.01 Financial support including grants and seed funds and subsidized loans to businesses with high potential for job retention and creation,NA,"Indicator 2.01.1 # of people supported to rehabilitate, develop, or start a social or business entrepreneurship initiative",People,3,15,0,15,Actual,0,0,0,0,0,0,0,Yes,15,0,Cash,Conditional,Restricted,Paper voucher,100,One-off,No,NA,Aleppo,SY02,Jarablus,SY0208,Jarablus,SY020800,Marma Elhajar,C2238,NA,NA,NA,Cross Border,HLG,02) Feb,02) Feb,NA,NA,55,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ent_0028,INGO,Ent_0028,INGO,NA,HF (Humanitarian Fund),Early Recovery and Livelihood,Syria HRP 22/23,No,SO2 Increase access to Livelihood and job opportunities,Activity 2.01 Financial support including grants and seed funds and subsidized loans to businesses with high potential for job retention and creation,NA,"Indicator 2.01.1 # of people supported to rehabilitate, develop, or start a social or business entrepreneurship initiative",People,20,100,0,100,Actual,0,0,0,0,0,0,0,No,0,100,Cash,Conditional,Restricted,Paper voucher,100,One-off,No,NA,Aleppo,SY02,Jarablus,SY0208,Ghandorah,SY020801,Ghandorah,C2250,NA,NA,NA,Cross Border,HLG,01) Jan,01) Jan,NA,NA,56,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ent_0028,INGO,Ent_0028,INGO,NA,HF (Humanitarian Fund),Early Recovery and Livelihood,Syria HRP 22/23,No,SO2 Increase access to Livelihood and job opportunities,Activity 2.01 Financial support including grants and seed funds and subsidized loans to businesses with high potential for job retention and creation,NA,"Indicator 2.01.1 # of people supported to rehabilitate, develop, or start a social or business entrepreneurship initiative",People,20,100,0,100,Actual,0,0,0,0,0,0,0,Yes,100,0,Cash,Conditional,Restricted,Paper voucher,100,One-off,No,NA,Aleppo,SY02,Jarablus,SY0208,Ghandorah,SY020801,Ghandorah,C2250,NA,NA,NA,Cross Border,HLG,02) Feb,02) Feb,NA,NA,57,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ent_0073,LNGO,Ent_0073,LNGO,NA,NGO / Other,Early Recovery and Livelihood,Syria EQ Flash Appeal,Yes,SO2 Increase access to Livelihood and job opportunities,Activity 2.09 Provide market based modalities of assistance to vulnerable households,6.12.1 # of people supported with MPC [People],"Indicator 2.09.2 # of vulnerable households (Female-headed households, elderlies, etc.) provided market-based modalities assistance",People,108,540,0,540,Actual,0,0,0,0,0,0,0,No,0,540,Cash,Unconditional,Unrestricted,Paper voucher,500,One-off,No,NA,Aleppo,SY02,Afrin,SY0203,Afrin,SY020300,Afrin,C1366,NA,NA,NA,Cross Border,HLG,02) Feb,02) Feb,NA,NA,103,54000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ent_0077,LNGO,Ent_0077,LNGO,NA,HF (Humanitarian Fund),Early Recovery and Livelihood,Syria HRP 22/23,No,SO2 Increase access to Livelihood and job opportunities,Activity 2.02 Provide vocational and skills training opportunities,NA,Indicator 2.02.2 # of individuals benefiting from vocational or business trainings,People,34,34,0,34,Actual,0,0,0,0,0,0,0,No,0,34,Service delivery/support,N/A,N/A,N/A,NA,N/A,No,NA,Idleb,SY07,Harim,SY0703,Dana,SY070301,Aqrabat,C4127,NA,NA,Abwab Al rahma,Cross Border,HLG,01) Jan,01) Jan,NA,NA,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ent_0077,LNGO,Ent_0077,LNGO,NA,HF (Humanitarian Fund),Early Recovery and Livelihood,Syria HRP 22/23,No,SO2 Increase access to Livelihood and job opportunities,Activity 2.02 Provide vocational and skills training opportunities,NA,Indicator 2.02.2 # of individuals benefiting from vocational or business trainings,People,27,27,0,27,Actual,0,0,0,0,0,0,0,No,0,27,Service delivery/support,N/A,N/A,N/A,NA,N/A,No,NA,Idleb,SY07,Harim,SY0703,Dana,SY070301,Aqrabat,C4127,NA,NA,Dar Hamoud,Cross Border,HLG,01) Jan,01) Jan,NA,NA,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ent_0077,LNGO,Ent_0077,LNGO,NA,HF (Humanitarian Fund),Early Recovery and Livelihood,Syria HRP 22/23,No,SO2 Increase access to Livelihood and job opportunities,Activity 2.02 Provide vocational and skills training opportunities,NA,Indicator 2.02.2 # of individuals benefiting from vocational or business trainings,People,34,34,0,34,Actual,0,0,0,0,0,0,0,Yes,34,0,Service delivery/support,N/A,N/A,N/A,NA,N/A,No,NA,Idleb,SY07,Harim,SY0703,Dana,SY070301,Aqrabat,C4127,NA,NA,Abwab Al rahma,Cross Border,HLG,02) Feb,02) Feb,NA,NA,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ent_0077,LNGO,Ent_0077,LNGO,NA,HF (Humanitarian Fund),Early Recovery and Livelihood,Syria HRP 22/23,No,SO2 Increase access to Livelihood and job opportunities,Activity 2.02 Provide vocational and skills training opportunities,NA,Indicator 2.02.2 # of individuals benefiting from vocational or business trainings,People,27,27,0,27,Actual,0,0,0,0,0,0,0,Yes,27,0,Service delivery/support,N/A,N/A,N/A,NA,N/A,No,NA,Idleb,SY07,Harim,SY0703,Dana,SY070301,Aqrabat,C4127,NA,NA,Dar Hamoud,Cross Border,HLG,02) Feb,02) Feb,NA,NA,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ent_0077,LNGO,Ent_0077,LNGO,NA,HF (Humanitarian Fund),Early Recovery and Livelihood,Syria HRP 22/23,No,SO2 Increase access to Livelihood and job opportunities,Activity 2.02 Provide vocational and skills training opportunities,NA,Indicator 2.02.2 # of individuals benefiting from vocational or business trainings,People,47,47,0,47,Actual,0,0,0,0,0,0,0,No,0,47,Service delivery/support,N/A,N/A,N/A,NA,N/A,No,NA,Idleb,SY07,Harim,SY0703,Dana,SY070301,Deir Hassan - Darhashan,C4129,NA,NA,Al Iman,Cross Border,HLG,01) Jan,01) Jan,NA,NA,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ent_0077,LNGO,Ent_0077,LNGO,NA,HF (Humanitarian Fund),Early Recovery and Livelihood,Syria HRP 22/23,No,SO2 Increase access to Livelihood and job opportunities,Activity 2.02 Provide vocational and skills training opportunities,NA,Indicator 2.02.2 # of individuals benefiting from vocational or business trainings,People,47,47,0,47,Actual,0,0,0,0,0,0,0,Yes,47,0,Service delivery/support,N/A,N/A,N/A,NA,N/A,No,NA,Idleb,SY07,Harim,SY0703,Dana,SY070301,Deir Hassan - Darhashan,C4129,NA,NA,Al Iman,Cross Border,HLG,02) Feb,02) Feb,NA,NA,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ent_0077,LNGO,Ent_0077,LNGO,NA,HF (Humanitarian Fund),Early Recovery and Livelihood,Syria HRP 22/23,No,SO2 Increase access to Livelihood and job opportunities,Activity 2.02 Provide vocational and skills training opportunities,NA,Indicator 2.02.2 # of individuals benefiting from vocational or business trainings,People,37,37,0,37,Actual,0,0,0,0,0,0,0,No,0,37,Service delivery/support,N/A,N/A,N/A,NA,N/A,No,NA,Idleb,SY07,Harim,SY0703,Dana,SY070301,Atma,C4130,NA,NA,Al kwaiti,Cross Border,HLG,01) Jan,01) Jan,NA,NA,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ent_0077,LNGO,Ent_0077,LNGO,NA,HF (Humanitarian Fund),Early Recovery and Livelihood,Syria HRP 22/23,No,SO2 Increase access to Livelihood and job opportunities,Activity 2.02 Provide vocational and skills training opportunities,NA,Indicator 2.02.2 # of individuals benefiting from vocational or business trainings,People,36,36,0,36,Actual,0,0,0,0,0,0,0,No,0,36,Service delivery/support,N/A,N/A,N/A,NA,N/A,No,NA,Idleb,SY07,Harim,SY0703,Dana,SY070301,Atma,C4130,NA,NA,Al rih Al mursala,Cross Border,HLG,01) Jan,01) Jan,NA,NA,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ent_0077,LNGO,Ent_0077,LNGO,NA,HF (Humanitarian Fund),Early Recovery and Livelihood,Syria HRP 22/23,No,SO2 Increase access to Livelihood and job opportunities,Activity 2.02 Provide vocational and skills training opportunities,NA,Indicator 2.02.2 # of individuals benefiting from vocational or business trainings,People,46,46,0,46,Actual,0,0,0,0,0,0,0,No,0,46,Service delivery/support,N/A,N/A,N/A,NA,N/A,No,NA,Idleb,SY07,Harim,SY0703,Dana,SY070301,Atma,C4130,NA,NA,Ataa2,Cross Border,HLG,01) Jan,01) Jan,NA,NA,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
