sector,hub,response_modality,implementing_partner,governorate,district,sub_district,location,location_type,community,reporting_month,start_date,end_date,project_status,activity,delivery_modality,cash_conditionality,transfer_value,cash_delivery_mechanism,beneficiaries,families,admin1pcode,admin2pcode,admin3pcode,admin4pcode,new_beneficiaries,total_usd,sub_cluster
Shelter,NWS X-B,Syria Cross-Border HLG,126,Aleppo,Afrin,Jandairis,Jandairis,Camp/Settlements,iman Shelter Center مركز ايواء الايمان - TEMP039,March,2023-03-20T00:00:00Z,2023-03-20T00:00:00Z,Completed,1.2.1.2: Installation of new/ replacement of existing tents,In-kind/ service,NA,NA,NA,60,12,SY02,SY0203,SY020302,C1426,Yes,NA,shelter
Shelter,NWS X-B,Syria Cross-Border HLG,126,Aleppo,Afrin,Jandairis,Jandairis,Camp/Settlements,الحشمة / AL_hishma - TEMP105,March,2023-03-20T00:00:00Z,2023-03-20T00:00:00Z,Completed,1.2.1.2: Installation of new/ replacement of existing tents,In-kind/ service,NA,NA,NA,35,7,SY02,SY0203,SY020302,C1426,Yes,NA,shelter
Shelter,NWS X-B,Syria Cross-Border HLG,53,Aleppo,Jebel Saman,Atareb,Tuwama,Camp/Settlements,Urum Al Sughra / أورم الصغرى,March,2023-03-30T00:00:00Z,2023-03-30T00:00:00Z,Completed,1.2.1.2: Installation of new/ replacement of existing tents,In-kind/ service,NA,NA,NA,245,49,SY02,SY0200,SY020001,C1020,Yes,NA,shelter
Shelter,NWS X-B,Syria Cross-Border HLG,53,Aleppo,Jebel Saman,Atareb,Tuwama,Camp/Settlements,Al Ezza / العزة,March,2023-03-31T00:00:00Z,2023-03-31T00:00:00Z,Completed,1.2.1.2: Installation of new/ replacement of existing tents,In-kind/ service,NA,NA,NA,370,74,SY02,SY0200,SY020001,C1020,Yes,NA,shelter
Shelter,NWS X-B,Syria Cross-Border HLG,89,Idleb,Ariha,Mhambal,Ora Qabli - Edwan,Camp/Settlements,Eudwan / عدوان,March,2023-03-14T00:00:00Z,2023-03-14T00:00:00Z,Completed,1.2.1.2: Installation of new/ replacement of existing tents,In-kind/ service,NA,NA,NA,1416,236,SY07,SY0705,SY070502,C4312,Yes,NA,shelter
Shelter,NWS X-B,Syria Cross-Border HLG,89,Aleppo,A'zaz,A'zaz,Azaz,Collective center,مركز إيواء اعزاز المركزي/ Central Azaz RC - TEMP059,March,2023-03-18T00:00:00Z,2023-03-18T00:00:00Z,Completed,1.2.1.2: Installation of new/ replacement of existing tents,In-kind/ service,NA,NA,NA,1518,253,SY02,SY0204,SY020400,C1564,Yes,NA,shelter
Shelter,NWS X-B,Syria Cross-Border HLG,89,Aleppo,A'zaz,A'zaz,Azaz,Collective center,NA,March,2023-03-19T00:00:00Z,2023-03-19T00:00:00Z,Completed,1.2.1.2: Installation of new/ replacement of existing tents,In-kind/ service,NA,NA,NA,306,51,SY02,SY0204,SY020400,C1564,Yes,NA,shelter
Shelter,NWS X-B,Syria Cross-Border HLG,89,Aleppo,A'zaz,A'zaz,Azaz,Collective center,NA,March,2023-03-19T00:00:00Z,2023-03-19T00:00:00Z,Completed,1.2.1.2: Installation of new/ replacement of existing tents,In-kind/ service,NA,NA,NA,498,83,SY02,SY0204,SY020400,C1564,Yes,NA,shelter
Shelter,NWS X-B,Syria Cross-Border HLG,550,Aleppo,A'zaz,A'zaz,Sijraz,Camp/Settlements,NA,March,2023-07-02T00:00:00Z,2023-12-30T00:00:00Z,Completed,1.2.3.2: Implementation of site level improvements/ infrastructure,In-kind/ service,NA,NA,NA,3240,600,SY02,SY0204,SY020400,C1556,Yes,NA,shelter
Shelter,NWS X-B,Syria Cross-Border HLG,550,Aleppo,Al Bab,Al Bab,Qabasin,Camp/Settlements,NA,March,2023-07-02T00:00:00Z,2023-03-30T00:00:00Z,Ongoing,1.2.3.2: Implementation of site level improvements/ infrastructure,In-kind/ service,NA,NA,NA,8100,1500,SY02,SY0202,SY020200,C1209,Yes,NA,shelter
Shelter,NWS X-B,Syria Cross-Border HLG,550,Aleppo,A'zaz,A'zaz,Sijraz,Camp/Settlements,NA,March,2023-07-02T00:00:00Z,2023-12-31T00:00:00Z,Completed,1.2.3.2: Implementation of site level improvements/ infrastructure,In-kind/ service,NA,NA,NA,3240,600,SY02,SY0204,SY020400,C1556,Yes,NA,shelter
Shelter,NWS X-B,Syria Cross-Border HLG,550,Idleb,Idleb,Maaret Tamsrin,Kelly,Camp/Settlements,NA,March,2023-07-02T00:00:00Z,2023-12-31T00:00:00Z,Completed,1.2.3.2: Implementation of site level improvements/ infrastructure,In-kind/ service,NA,NA,NA,2160,400,SY07,SY0700,SY070005,C3949,Yes,NA,shelter
Shelter,NWS X-B,Syria Cross-Border HLG,550,Aleppo,A'zaz,A'zaz,Sijraz,Camp/Settlements,NA,March,2023-07-02T00:00:00Z,2023-12-31T00:00:00Z,Completed,1.2.2.1: Installation/ construction of temporary transitional shelters,In-kind/ service,NA,NA,NA,3240,600,SY02,SY0204,SY020400,C1556,Yes,NA,shelter
Shelter,NWS X-B,Syria Cross-Border HLG,550,Idleb,Idleb,Maaret Tamsrin,Kelly,Camp/Settlements,NA,March,2023-07-02T00:00:00Z,2023-12-31T00:00:00Z,Completed,1.2.2.1: Installation/ construction of temporary transitional shelters,In-kind/ service,NA,NA,NA,2160,400,SY07,SY0700,SY070005,C3949,Yes,NA,shelter
Shelter,NWS X-B,Syria Cross-Border HLG,231,Aleppo,Jarablus,Jarablus,Marma Elhajar,Camp/Settlements,Ein Al Abeed / عين العبيد,March,2023-01-01T00:00:00Z,2023-03-31T00:00:00Z,Completed,1.2.2.1: Installation/ construction of temporary transitional shelters,In-kind/ service,NA,NA,NA,309,74,SY02,SY0208,SY020800,C2238,Yes,NA,shelter
Shelter,NWS X-B,Syria Cross-Border HLG,231,Aleppo,Jarablus,Jarablus,Zoghra,Camp/Settlements,Zoghra Aljadid/ زوغرة الجديد,March,2023-01-01T00:00:00Z,2023-03-31T00:00:00Z,Completed,1.2.2.1: Installation/ construction of temporary transitional shelters,In-kind/ service,NA,NA,NA,420,95,SY02,SY0208,SY020800,C2220,Yes,NA,shelter
Shelter,NWS X-B,Syria Cross-Border HLG,231,Aleppo,Jarablus,Jarablus,Zoghra,Camp/Settlements,Zoghra / زوغرة,March,2023-01-01T00:00:00Z,2023-03-31T00:00:00Z,Completed,1.2.2.1: Installation/ construction of temporary transitional shelters,In-kind/ service,NA,NA,NA,236,61,SY02,SY0208,SY020800,C2220,Yes,NA,shelter
Shelter,NWS X-B,Syria Cross-Border HLG,89,Idleb,Idleb,Maaret Tamsrin,Shekh Bahr,Camp/Settlements,Maram Shekh Bahr / مرام الشيخ بحر,March,2023-03-28T00:00:00Z,2023-03-31T00:00:00Z,Completed,1.2.1.2: Installation of new/ replacement of existing tents,In-kind/ service,NA,NA,NA,267,50,SY07,SY0700,SY070005,C6631,Yes,NA,shelter
Shelter,NWS X-B,Syria Cross-Border HLG,633,Idleb,Jisr-Ash-Shugur,Janudiyeh,Hamama - Kafr Debbin,Camp/Settlements,Oion Aara / عيون عارة,March,2023-07-01T00:00:00Z,2023-06-30T00:00:00Z,Ongoing,1.2.2.1: Installation/ construction of temporary transitional shelters,In-kind/ service,NA,NA,NA,750,150,SY07,SY0704,SY070403,C4267,Yes,NA,shelter
Shelter,NWS X-B,Syria Cross-Border HLG,633,Idleb,Jisr-Ash-Shugur,Janudiyeh,Hamama - Kafr Debbin,Camp/Settlements,Oion Aara / عيون عارة,March,2023-07-01T00:00:00Z,2023-06-30T00:00:00Z,Ongoing,1.2.3.2: Implementation of site level improvements/ infrastructure,In-kind/ service,NA,NA,NA,750,150,SY07,SY0704,SY070403,C4267,Yes,NA,shelter
Shelter,NWS X-B,Syria Cross-Border HLG,655,Idleb,Harim,Qourqeena,Barisha,Camp/Settlements,NA,March,2023-03-01T00:00:00Z,2023-03-31T00:00:00Z,Completed,1.2.2.1: Installation/ construction of temporary transitional shelters,In-kind/ service,NA,NA,NA,650,100,SY07,SY0703,SY070304,C4164,Yes,NA,shelter
Shelter,NWS X-B,Syria Cross-Border HLG,655,Aleppo,Al Bab,Al Bab,Bazagha,Camp/Settlements,NA,March,2023-03-01T00:00:00Z,2023-03-31T00:00:00Z,Completed,1.2.2.1: Installation/ construction of temporary transitional shelters,In-kind/ service,NA,NA,NA,56,10,SY02,SY0202,SY020200,C1188,Yes,NA,shelter
Shelter,NWS X-B,Syria Cross-Border HLG,23,Aleppo,A'zaz,Suran,Ehteimlat,Town/Community/Neighborhood,NA,March,2023-12-29T00:00:00Z,2023-03-26T00:00:00Z,Completed,2.1.1.1: Rehabilitation of damaged/ unfinished housing,In-kind/ service,NA,NA,NA,211,46,SY02,SY0204,SY020405,C1667,Yes,NA,shelter
Shelter,NWS X-B,Syria Cross-Border HLG,168,Idleb,Harim,Qourqeena,Torlaha,Camp/Settlements,Abnaa Sran / أبناء صوران,March,2022-06-01T00:00:00Z,2023-05-31T00:00:00Z,Ongoing,1.2.3.2: Implementation of site level improvements/ infrastructure,In-kind/ service,NA,NA,NA,1285,345,SY07,SY0703,SY070304,C4170,Yes,NA,shelter
Shelter,NWS X-B,Syria Cross-Border HLG,168,Idleb,Harim,Dana,Kafr Deryan,Camp/Settlements,Al Midan - Tal Maraq / الميدان- تل مرق,March,2022-06-01T00:00:00Z,2023-05-31T00:00:00Z,Ongoing,1.2.3.2: Implementation of site level improvements/ infrastructure,In-kind/ service,NA,NA,NA,1520,208,SY07,SY0703,SY070301,C4132,Yes,NA,shelter
Shelter,NWS X-B,Syria Cross-Border HLG,168,Idleb,Harim,Qourqeena,Torlaha,Camp/Settlements,Almakas / المقص,March,2022-06-01T00:00:00Z,2023-05-31T00:00:00Z,Ongoing,1.2.3.2: Implementation of site level improvements/ infrastructure,In-kind/ service,NA,NA,NA,266,48,SY07,SY0703,SY070304,C4170,Yes,NA,shelter
Shelter,NWS X-B,Syria Cross-Border HLG,168,Idleb,Harim,Dana,Kafr Deryan,Camp/Settlements,Kafr Deryan Janobi / كفر دريان جنوبي,March,2022-06-01T00:00:00Z,2023-05-31T00:00:00Z,Ongoing,1.2.3.2: Implementation of site level improvements/ infrastructure,In-kind/ service,NA,NA,NA,2032,391,SY07,SY0703,SY070301,C4132,Yes,NA,shelter
Shelter,NWS X-B,Syria Cross-Border HLG,168,Idleb,Idleb,Maaret Tamsrin,Kelly,Camp/Settlements,Atta alkhair2 / عطاء الخير 2,March,2022-06-01T00:00:00Z,2023-05-31T00:00:00Z,Ongoing,1.2.3.2: Implementation of site level improvements/ infrastructure,In-kind/ service,NA,NA,NA,1601,320,SY07,SY0700,SY070005,C3949,Yes,NA,shelter
Shelter,NWS X-B,Syria Cross-Border HLG,168,Idleb,Idleb,Maaret Tamsrin,Kelly,Camp/Settlements,Jabal Kelly / جبل كللي,March,2022-06-01T00:00:00Z,2023-05-31T00:00:00Z,Ongoing,1.2.3.2: Implementation of site level improvements/ infrastructure,In-kind/ service,NA,NA,NA,2075,356,SY07,SY0700,SY070005,C3949,Yes,NA,shelter
Shelter,NWS X-B,Syria Cross-Border HLG,168,Idleb,Idleb,Maaret Tamsrin,Kelly,Camp/Settlements,Sultan Mohaamd Alfatih / السلطان محمد الفاتح,March,2022-06-01T00:00:00Z,2023-05-31T00:00:00Z,Ongoing,1.2.3.2: Implementation of site level improvements/ infrastructure,In-kind/ service,NA,NA,NA,700,125,SY07,SY0700,SY070005,C3949,Yes,NA,shelter
Shelter,NWS X-B,Syria Cross-Border HLG,263,Idleb,Harim,Qourqeena,Barisha,Camp/Settlements,Shahed / شهد,March,2023-04-11T00:00:00Z,2023-04-11T00:00:00Z,Completed,1.2.1.2: Installation of new/ replacement of existing tents,In-kind/ service,NA,NA,NA,230,35,SY07,SY0703,SY070304,C4164,Yes,NA,shelter
Shelter,NWS X-B,Syria Cross-Border HLG,263,Idleb,Idleb,Maaret Tamsrin,Hazano,Camp/Settlements,Moaz Mosque / جامع معاذ,March,2023-04-10T00:00:00Z,2023-04-10T00:00:00Z,Completed,1.2.1.2: Installation of new/ replacement of existing tents,In-kind/ service,NA,NA,NA,266,29,SY07,SY0700,SY070005,C3944,Yes,NA,shelter
Shelter,NWS X-B,Syria Cross-Border HLG,186,Aleppo,Afrin,Jandairis,Jandairis,Camp/Settlements,NA,March,2023-03-27T00:00:00Z,2023-03-27T00:00:00Z,Completed,1.2.1.2: Installation of new/ replacement of existing tents,In-kind/ service,NA,NA,NA,275,55,SY02,SY0203,SY020302,C1426,Yes,NA,shelter
Shelter,NWS X-B,Syria Cross-Border HLG,186,Aleppo,Afrin,Jandairis,Jandairis,Camp/Settlements,NA,March,2023-03-27T00:00:00Z,2023-03-27T00:00:00Z,Completed,1.2.1.2: Installation of new/ replacement of existing tents,In-kind/ service,NA,NA,NA,50,10,SY02,SY0203,SY020302,C1426,Yes,NA,shelter
Shelter,NWS X-B,Syria Cross-Border HLG,186,Aleppo,Afrin,Jandairis,Jandairis,Camp/Settlements,NA,March,2023-03-27T00:00:00Z,2023-03-27T00:00:00Z,Completed,1.2.1.2: Installation of new/ replacement of existing tents,In-kind/ service,NA,NA,NA,50,10,SY02,SY0203,SY020302,C1426,Yes,NA,shelter
Shelter,NWS X-B,Syria Cross-Border HLG,186,Aleppo,Afrin,Jandairis,Jandairis,Camp/Settlements,NA,March,2023-03-27T00:00:00Z,2023-03-27T00:00:00Z,Completed,1.2.1.2: Installation of new/ replacement of existing tents,In-kind/ service,NA,NA,NA,25,5,SY02,SY0203,SY020302,C1426,Yes,NA,shelter
NFI,NWS X-B,Syria Cross-Border HLG,14,Idleb,Idleb,Maaret Tamsrin,Zardana Mashehad,Camp/Settlements,Al Andalus 1 / الأندلس 1,March,2023-03-24T00:00:00Z,2023-03-24T00:00:00Z,Completed,1.1.1.1: Provision of core NFIs,In-kind/ service,NA,NA,NA,275,55,SY07,SY0700,SY070005,C3938,Yes,NA,nfi
NFI,NWS X-B,Syria Cross-Border HLG,28,Idleb,Harim,Dana,Atma,Camp/Settlements,Al Takaful / التكافل,March,2023-03-30T00:00:00Z,2023-03-30T00:00:00Z,Completed,1.1.1.1: Provision of core NFIs,In-kind/ service,NA,NA,NA,25,5,SY07,SY0703,SY070301,C4130,Yes,NA,nfi
NFI,NWS X-B,Syria Cross-Border HLG,28,Idleb,Harim,Dana,Atma,Camp/Settlements,Al Amana / الأمانة,March,2023-03-30T00:00:00Z,2023-03-30T00:00:00Z,Completed,1.1.1.1: Provision of core NFIs,In-kind/ service,NA,NA,NA,5,1,SY07,SY0703,SY070301,C4130,Yes,NA,nfi
NFI,NWS X-B,Syria Cross-Border HLG,28,Idleb,Harim,Dana,Atma,Camp/Settlements,Al Ethar / الإيثار,March,2023-03-30T00:00:00Z,2023-03-30T00:00:00Z,Completed,1.1.1.1: Provision of core NFIs,In-kind/ service,NA,NA,NA,5,1,SY07,SY0703,SY070301,C4130,Yes,NA,nfi
NFI,NWS X-B,Syria Cross-Border HLG,28,Idleb,Harim,Dana,Atma,Camp/Settlements,Khaled ibn Al Walid / خالد بن الوليد,March,2023-03-30T00:00:00Z,2023-03-30T00:00:00Z,Completed,1.1.1.1: Provision of core NFIs,In-kind/ service,NA,NA,NA,5,1,SY07,SY0703,SY070301,C4130,Yes,NA,nfi
NFI,NWS X-B,Syria Cross-Border HLG,28,Idleb,Harim,Dana,Atma,Camp/Settlements,Moutawa 1 / مطوع 1,March,2023-03-30T00:00:00Z,2023-03-30T00:00:00Z,Completed,1.1.1.1: Provision of core NFIs,In-kind/ service,NA,NA,NA,5,1,SY07,SY0703,SY070301,C4130,Yes,NA,nfi
NFI,NWS X-B,Syria Cross-Border HLG,28,Idleb,Harim,Dana,Atma,Camp/Settlements,Yad Bi Yad / يد بيد,March,2023-03-30T00:00:00Z,2023-03-30T00:00:00Z,Completed,1.1.1.1: Provision of core NFIs,In-kind/ service,NA,NA,NA,5,1,SY07,SY0703,SY070301,C4130,Yes,NA,nfi
NFI,NWS X-B,Syria Cross-Border HLG,649,Idleb,Idleb,Maaret Tamsrin,Ma'arrat Tamasrin,Camp/Settlements,Al Dahroj / الدحروج,March,2023-03-19T00:00:00Z,2023-03-19T00:00:00Z,Completed,1.1.1.2: Provision of seasonal and supplementary NFIs,In-kind/ service,NA,NA,NA,750,150,SY07,SY0700,SY070005,C3947,Yes,NA,nfi
NFI,NWS X-B,Syria Cross-Border HLG,649,Idleb,Harim,Salqin,Big Hir Jamus,Camp/Settlements,Alwadi / الوادي,March,2023-03-20T00:00:00Z,2023-03-20T00:00:00Z,Completed,1.1.1.2: Provision of seasonal and supplementary NFIs,In-kind/ service,NA,NA,NA,875,175,SY07,SY0703,SY070302,C4141,Yes,NA,nfi
NFI,NWS X-B,Syria Cross-Border HLG,263,Aleppo,Afrin,Sheikh El-Hadid,Sheikh El-Hadid,Camp/Settlements,NA,March,2023-03-18T00:00:00Z,2023-03-18T00:00:00Z,Completed,1.1.1.1: Provision of core NFIs,In-kind/ service,NA,NA,NA,386,386,SY02,SY0203,SY020305,C1525,Yes,NA,nfi
NFI,NWS X-B,Syria Cross-Border HLG,263,Aleppo,A'zaz,A'zaz,Azaz,Camp/Settlements,مركز إيواء اعزاز المركزي/ Central Azaz RC - TEMP059,March,2023-03-19T00:00:00Z,2023-03-19T00:00:00Z,Completed,1.1.1.1: Provision of core NFIs,In-kind/ service,NA,NA,NA,273,273,SY02,SY0204,SY020400,C1564,Yes,NA,nfi
NFI,NWS X-B,Syria Cross-Border HLG,263,Aleppo,A'zaz,A'zaz,Azaz,Camp/Settlements,NA,March,2023-03-18T00:00:00Z,2023-03-18T00:00:00Z,Completed,1.1.1.1: Provision of core NFIs,In-kind/ service,NA,NA,NA,15,15,SY02,SY0204,SY020400,C1564,Yes,NA,nfi
NFI,NWS X-B,Syria Cross-Border HLG,263,Aleppo,A'zaz,A'zaz,Azaz,Camp/Settlements,NA,March,2023-03-18T00:00:00Z,2023-03-18T00:00:00Z,Completed,1.1.1.1: Provision of core NFIs,In-kind/ service,NA,NA,NA,15,15,SY02,SY0204,SY020400,C1564,Yes,NA,nfi
NFI,NWS X-B,Syria Cross-Border HLG,263,Aleppo,A'zaz,A'zaz,Azaz,Camp/Settlements,NA,March,2023-03-18T00:00:00Z,2023-03-18T00:00:00Z,Completed,1.1.1.1: Provision of core NFIs,In-kind/ service,NA,NA,NA,30,30,SY02,SY0204,SY020400,C1564,Yes,NA,nfi
NFI,NWS X-B,Syria Cross-Border HLG,263,Aleppo,Afrin,Ma'btali,Ma'btali,Camp/Settlements,Salat Suliman / صالة سليمان,March,2023-03-18T00:00:00Z,2023-03-18T00:00:00Z,Completed,1.1.1.1: Provision of core NFIs,In-kind/ service,NA,NA,NA,72,72,SY02,SY0203,SY020306,C1552,Yes,NA,nfi
NFI,NWS X-B,Syria Cross-Border HLG,263,Aleppo,A'zaz,A'zaz,Azaz,Camp/Settlements,NA,March,2023-03-18T00:00:00Z,2023-03-18T00:00:00Z,Completed,1.1.1.1: Provision of core NFIs,In-kind/ service,NA,NA,NA,44,44,SY02,SY0204,SY020400,C1564,Yes,NA,nfi
NFI,NWS X-B,Syria Cross-Border HLG,263,Aleppo,A'zaz,A'zaz,Azaz,Camp/Settlements,NA,March,2023-03-18T00:00:00Z,2023-03-18T00:00:00Z,Completed,1.1.1.1: Provision of core NFIs,In-kind/ service,NA,NA,NA,113,113,SY02,SY0204,SY020400,C1564,Yes,NA,nfi
NFI,NWS X-B,Syria Cross-Border HLG,263,Aleppo,A'zaz,A'zaz,Azaz,Camp/Settlements,NA,March,2023-03-19T00:00:00Z,2023-03-19T00:00:00Z,Completed,1.1.1.1: Provision of core NFIs,In-kind/ service,NA,NA,NA,86,86,SY02,SY0204,SY020400,C1564,Yes,NA,nfi
NFI,NWS X-B,Syria Cross-Border HLG,263,Aleppo,A'zaz,A'zaz,Azaz,Camp/Settlements,NA,March,2023-03-19T00:00:00Z,2023-03-19T00:00:00Z,Completed,1.1.1.1: Provision of core NFIs,In-kind/ service,NA,NA,NA,45,45,SY02,SY0204,SY020400,C1564,Yes,NA,nfi
NFI,NWS X-B,Syria Cross-Border HLG,588,Idleb,Idleb,Maaret Tamsrin,Batenta,Camp/Settlements,Al Hawija / الحويجة,March,2023-03-19T00:00:00Z,2023-03-19T00:00:00Z,Completed,1.1.1.1: Provision of core NFIs,In-kind/ service,NA,NA,NA,400,80,SY07,SY0700,SY070005,C3939,Yes,NA,nfi
NFI,NWS X-B,Syria Cross-Border HLG,588,Idleb,Idleb,Maaret Tamsrin,Batenta,Camp/Settlements,NA,March,2023-03-23T00:00:00Z,2023-03-23T00:00:00Z,Completed,1.1.1.1: Provision of core NFIs,In-kind/ service,NA,NA,NA,75,15,SY07,SY0700,SY070005,C3939,Yes,NA,nfi
NFI,NWS X-B,Syria Cross-Border HLG,588,Idleb,Harim,Armanaz,Hafasraja,Camp/Settlements,NA,March,2023-03-23T00:00:00Z,2023-03-23T00:00:00Z,Completed,1.1.1.1: Provision of core NFIs,In-kind/ service,NA,NA,NA,200,40,SY07,SY0703,SY070305,C4178,Yes,NA,nfi
NFI,NWS X-B,Syria Cross-Border HLG,588,Idleb,Idleb,Maaret Tamsrin,Haranbush,Camp/Settlements,NA,March,2023-03-21T00:00:00Z,2023-03-21T00:00:00Z,Completed,1.1.1.1: Provision of core NFIs,In-kind/ service,NA,NA,NA,175,35,SY07,SY0700,SY070005,C3943,Yes,NA,nfi
NFI,NWS X-B,Syria Cross-Border HLG,588,Idleb,Idleb,Maaret Tamsrin,Haranbush,Camp/Settlements,NA,March,2023-03-20T00:00:00Z,2023-03-20T00:00:00Z,Completed,1.1.1.1: Provision of core NFIs,In-kind/ service,NA,NA,NA,390,78,SY07,SY0700,SY070005,C3943,Yes,NA,nfi
NFI,NWS X-B,Syria Cross-Border HLG,588,Idleb,Idleb,Maaret Tamsrin,Haranbush,Camp/Settlements,Al Huda(Haranbush) / الهدى(حربنوش),March,2023-03-20T00:00:00Z,2023-03-20T00:00:00Z,Completed,1.1.1.1: Provision of core NFIs,In-kind/ service,NA,NA,NA,200,40,SY07,SY0700,SY070005,C3943,Yes,NA,nfi
NFI,NWS X-B,Syria Cross-Border HLG,588,Idleb,Idleb,Maaret Tamsrin,Haranbush,Camp/Settlements,Al Khald / الخالد,March,2023-03-21T00:00:00Z,2023-03-21T00:00:00Z,Completed,1.1.1.1: Provision of core NFIs,In-kind/ service,NA,NA,NA,500,100,SY07,SY0700,SY070005,C3943,Yes,NA,nfi
NFI,NWS X-B,Syria Cross-Border HLG,588,Idleb,Idleb,Maaret Tamsrin,Haranbush,Camp/Settlements,Al- Nassem / النسيم,March,2023-03-20T00:00:00Z,2023-03-20T00:00:00Z,Completed,1.1.1.1: Provision of core NFIs,In-kind/ service,NA,NA,NA,250,50,SY07,SY0700,SY070005,C3943,Yes,NA,nfi
NFI,NWS X-B,Syria Cross-Border HLG,588,Idleb,Idleb,Maaret Tamsrin,Kafr - Kafrehmul,Camp/Settlements,NA,March,2023-03-23T00:00:00Z,2023-03-23T00:00:00Z,Completed,1.1.1.1: Provision of core NFIs,In-kind/ service,NA,NA,NA,110,22,SY07,SY0700,SY070005,C3942,Yes,NA,nfi
NFI,NWS X-B,Syria Cross-Border HLG,588,Idleb,Idleb,Maaret Tamsrin,Kafr Jales,Camp/Settlements,NA,March,2023-03-23T00:00:00Z,2023-03-23T00:00:00Z,Completed,1.1.1.1: Provision of core NFIs,In-kind/ service,NA,NA,NA,250,50,SY07,SY0700,SY070005,C3945,Yes,NA,nfi
